"","X.x","site_no.x","dateTime","Flow_Inst.x","Site.x","Cat.x","X.y","site_no.y","Flow_Inst.y","Site.y","Cat.y","X.x.x","site_no.x.x","Flow_Inst.x.x","Site.x.x","Cat.x.x","X.y.y","site_no.y.y","Flow_Inst.y.y","Site.y.y","Cat.y.y"
"2800",2800,13185000,"2019-02-17 19:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7476,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12152,13211205,710,"BOISE RIVER AT CALDWELL, ID ","Managed",16808,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2801",2801,13185000,"2019-02-17 19:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7477,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12153,13211205,710,"BOISE RIVER AT CALDWELL, ID ","Managed",16809,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2802",2802,13185000,"2019-02-17 20:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7478,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12154,13211205,710,"BOISE RIVER AT CALDWELL, ID ","Managed",16810,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2803",2803,13185000,"2019-02-17 20:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7479,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12155,13211205,710,"BOISE RIVER AT CALDWELL, ID ","Managed",16811,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2804",2804,13185000,"2019-02-17 20:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7480,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12156,13211205,705,"BOISE RIVER AT CALDWELL, ID ","Managed",16812,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2805",2805,13185000,"2019-02-17 20:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7481,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12157,13211205,705,"BOISE RIVER AT CALDWELL, ID ","Managed",16813,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2806",2806,13185000,"2019-02-17 21:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7482,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12158,13211205,705,"BOISE RIVER AT CALDWELL, ID ","Managed",16814,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2807",2807,13185000,"2019-02-17 21:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7483,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12159,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16815,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2808",2808,13185000,"2019-02-17 21:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7484,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12160,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16816,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2809",2809,13185000,"2019-02-17 21:45:00",414,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7485,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12161,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16817,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2810",2810,13185000,"2019-02-17 22:00:00",414,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7486,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12162,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16818,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2811",2811,13185000,"2019-02-17 22:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7487,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12163,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16819,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2812",2812,13185000,"2019-02-17 22:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7488,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12164,13211205,700,"BOISE RIVER AT CALDWELL, ID ","Managed",16820,13213000,1030,"BOISE RIVER NR PARMA ID ","Managed"
"2813",2813,13185000,"2019-02-17 22:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7489,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12165,13211205,694,"BOISE RIVER AT CALDWELL, ID ","Managed",16821,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2814",2814,13185000,"2019-02-17 23:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7490,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12166,13211205,694,"BOISE RIVER AT CALDWELL, ID ","Managed",16822,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2815",2815,13185000,"2019-02-17 23:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7491,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12167,13211205,694,"BOISE RIVER AT CALDWELL, ID ","Managed",16823,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
"2816",2816,13185000,"2019-02-17 23:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7492,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12168,13211205,694,"BOISE RIVER AT CALDWELL, ID ","Managed",16824,13213000,1020,"BOISE RIVER NR PARMA ID ","Managed"
